TR029913,26.260,378805,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,25/02/2026,1026427,ENEIAS,26/03/2026,09:00,,,,,,,,,,,,,,,,,,,,,
TR028203,26.260,379122,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,25/02/2026,1026425,ENEIAS,27/03/26,09:00,,,,,,,,,,,,,,,,,,,,,
VR002920,11.180,381289,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716173,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR002694,11.180,381284,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716174,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003195,11.180,381275,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716175,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003018,11.180,381279,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716176,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003076,11.180,381276,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716177,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003029,11.180,381280,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716178,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003305,11.180,381278,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716179,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR002769,11.180,381281,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716180,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003241,11.180,381292,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716181,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003017,11.180,381291,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716182,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003070,11.180,381288,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716183,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003001,11.180,381286,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716184,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR002915,11.180,381285,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716185,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR002840,11.180,381297,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716186,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003256,11.180,381282,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716187,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR003022,11.180,381298,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,,09/02/2026,716188,ENEIAS,30/04/2026,09:00,,,,,,,,,,,,,,,,,,,,,
VR008402,26.260,381053,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,63843  - VOTUPORANGA-SP - 10/04,16/03/2026,719873,ENEIAS,05/05/0206,,,,,,,,,,,,,,,,,,,,,,
VR005325,26.260,381052,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,63843  - VOTUPORANGA-SP - 10/04,13/03/2026,719677,ENEIAS,05/05/0206,,,,,,,,,,,,,,,,,,,,,,
VR005414,26.260,381055,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,63843  - VOTUPORANGA-SP - 10/04,13/03/2026,719676,ENEIAS,05/05/0206,,,,,,,,,,,,,,,,,,,,,,
VR008662,26.260,381056,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,FACCHINI S/A - VOTUPORANGA-SP - 63869 15/04,18/03/2026,720075,ENEIAS,30/12/1899,,,,,,,,,,,,,,,,,,,,,,
VR008744,26.260,381054,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,CLIENTE,N,PAGO,NÃO TEM,FACCHINI S/A - VOTUPORANGA-SP - 63869 15/04,18/03/2026,720071,ENEIAS,05/05/0206,,,,,,,,,,,,,,,,,,,,,,
TR009035,18.260,363980,NENHUM,FALSE,ENTREGUE,INDUSTRIA E COMERCIO DE PRODUTOS DE LATICINIOS FARLAT LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,29/04/2025,974858,EURIPEDES,13/05 - 14:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR042123,EXPRESS,370052,NENHUM,FALSE,ENTREGUE,INSTALADORA E PRESTADORA DE SERVICO RODAO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,28/08/2025,996856,JORGE,03/09 - 13:30 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR012449,11.180,365788,NENHUM,FALSE,ENTREGUE,INVICTA TRANSPORTES LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,27/05/2025,689515,CARLOS,09/06 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR014154,26.260,365787,NENHUM,FALSE,ENTREGUE,INVICTA TRANSPORTES LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,27/05/2025,689511,CARLOS,09/06 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR015796,18.260,366803,NENHUM,FALSE,ENTREGUE,IPE RESIDUOS E SERVICOS LTDA ,CLIENTE,NÃO,PAGO,NÃO TEM,RETORNO,25/6/2025,985057,CARLOS,01/07/2025,16:00,,"R$ 10.000,00",366804,"PARAMETRIZACAO, GEOMETRIA , TAPETE, CHINIL, SOPRADOR, INSUFILME E RADIO (FAZER DEPOIS QUE VOLTAR)",,,,,,,,,,,,,,,,,
VR000120,18.260,379598,NENHUM,FALSE,ENTREGUE,IPE RESIDUOS E SERVICOS LTDA - FALTOU PARAMETRIZAÇÃO,CLIENTE,P,PAGO,NÃO TEM,,30/03/2026,1031940,CARLOS,08/04/2026,09:00,,"R$ 10.000,00",379585,TAPETE CHINIL MANGUEIRA E INSULFILME - PARAMETRIZAÇÃO,,,,,,,,,,,,,,,,,
TR010911,18.210,381984,NENHUM,FALSE,ENTREGUE,IRMAOS GARCIA HORTIFRUTIGRANJEIROS LTDA,CLIENTE,P,PAGO,REALIZADA,Carta DVM AT 006-26 - Ação de Campo – verificação do roteiro do chicote elétrico do motor D08 - 1 Item(s),12/05/2026,1038958,RUI,27/05/25,09:00,,"R$ 2.000,00",381943,"INSUFILME, TAPETES, SOPRADOR E CHINIL",,,,,,,,,,,,,,,,,
TR032170,13.180,374785,NENHUM,FALSE,ENTREGUE,IRMAOS HARADA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,26/11/2025,709145,RUI,23/12 - 09:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR033747,13.180,374786,NENHUM,FALSE,ENTREGUE,IRMAOS HARADA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,28/11/2025,710090,RUI,23/12 - 09:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR014253,14.210,371682,NENHUM,FALSE,ENTREGUE,ISOMASTER IND. E COMERCIO DE ISOLANTES TERMICOS EIRELI ME,CLIENTE,NÃO,PAGO,NÃO TEM,,30/08/2025,997186,CRISTIANO,,,,,,,,,,,,,,,,,,,,,,,
SR041636,13.180,363251,NENHUM,FALSE,ENTREGUE,ISOPLAY TELHAS TERMICAS LTDA,CLIENTE,NÃO,PAGO,TEM,,,,RUI,,,,,,,,,,,,,,,,,,,,,,,
TR017776,13.180,371177,NENHUM,FALSE,ENTREGUE,ISOPLAY TELHAS TERMICAS LTDA,CLIENTE,OK,PAGO,NÃO TEM,,25/08/2025,996007,RUI,24/09 - 09:00 HORAS,,,"R$ 1.000,00",,"TAPETE LISO, INSUFILME, SOPRADOR",,,,,,,,,,,,,,,,,
TR023897,13.180,371951,NENHUM,FALSE,ENTREGUE,ISOPLAY TELHAS TERMICAS LTDA,CLIENTE,OS.,PAGO,NÃO TEM,JRV - 11/10,07/10/2025,1003598,RUI,,,,"R$ 1.000,00",373314,"TAPETE LISO, INSUFILME, SOPRADOR",,,,,,,,,,,,,,,,,
VR003734,14.180,380008,CARROC. FLACH,TRUE,ENTREGUE,ISOPLAY TELHAS TERMICAS LTDA - FALTOU CAPA DO BANCO,CLIENTE,P,PAGO,NÃO TEM,,24/03/2026,1030865,RUI,16/04/2026,16:00,,"R$ 2.000,00",380002,"TAPETE, CHINIL, MANGUEIRA DE SOPRAR E INSUFILME",,,,,,,,,,,,,,,,,
TR022435,27.260,374847,CARROC. FLACH,TRUE,ENTREGUE,ITACUA INDUSTRIA E COMERCIO DE MINERIOS LTDA,CLIENTE,P,PAGO,NÃO TEM,,15/12/2025,1015139,EURIPEDES,29/01/26 - 16:00 HORAS,,,"R$ 5.000,00",374962,CORTESIA: TIRAR TOMADA RAPTOR - VOUCHER: PARAMETRIZAÇÃO  OS. 376333,,,,,,,,,,,,,,,,,
TR016053,30.320,371797,NENHUM,FALSE,ENTREGUE,IVAGNO TRANSPORTES LTDA,CLIENTE,P,PAGO,,,12/02/2026,1024468,DOUGLAS,19/02/2026 - 10:00 HORAS,,,"R$ 980,00",377314,"VINIL, INSUFILME E MANGUEIRA DE SOPRAR",,,,,,,,,,,,,,,,,
TR006583,11.180,376491,BAU - FACCHINI,FALSE,ENTREGUE,IVAIR LOPES - CHINIL BANCO,CLIENTE,A,PAGO,NÃO TEM,,09/01/2026,1018327,JORGE,,,,"R$ 9.000,00",375678,"DEFLETOR TETO, CHINIL, VINIL, MOEDA E CALHA",,,,,,,,,,,,,,,,,
VR202984,29.530,378683,NENHUM,FALSE,ENTREGUE,J A TRANSPORTES E CARGAS LTDA ,CLIENTE,P,PAGO,NÃO TEM,,12/03/2026,1029213,PAULO,24/03/26,16:00,,"R$ 20.000,00",378682,"PARAMETRIZAÇÃO CAMBIO, CHINIL BANCOS E PAINEL, TAPETE VERNIZ E MOEDA, INSULFIL, DEFLETOR CEGONHEIRO, 02 ACP862879",,,,,,,,,,,,,,,,,
TR025051,26.260,374931,NENHUM,FALSE,ENTREGUE,J B PEREIRA ELOHIM MATERIAL DE CONSTRUCAO,CLIENTE,NÃO,PAGO,NÃO TEM,,05/11/2025,1008574,JORGE,19/12 - 13:30 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR000112,11.180,372071,NENHUM,FALSE,ENTREGUE,J D MOREIRA CARVALHO RECICLAGEM,CLIENTE,OK,PAGO,NÃO TEM,JRV - 15/10,08/10/2025,1003800,DOUGLAS,,,,"R$ 990,00",372603,TAPETE VINIL E CHINIL BANCO E PAINEL ,,,,,,,,,,,,,,,,,
SR031657,13.180,363666,NENHUM,FALSE,ENTREGUE,J DIVINO DE SOUZA LTDA,CLIENTE,NÃO,PAGO,TEM,,9/6/2025,982396,LUIZ CLAUDIO,16/06 - 16:00 HORAS,,,"R$ 1.500,00",,"DEFLETOR TETO ALTO = R$ 7.600,00 6X BOLETO (TAPETE, CHINIL E SOPRADOR - VOUCHER)",,,,,,,,,,,,,,,,,
VR010942,11.180,REVISAO 6 MESES,,,ENTREGUE,J DIVINO DE SOUZA LTDA ,CLIENTE,,,15/05/2026,1039680,LUIZ CLAUDIO,PAGO,OK,383220,NÃO TEM,"R$ 3.000,00","R$ 1.000,00 PARA EMPLACAMENTO - TAPETE, CHINIL, INSULFILME E SOPRADOR",,,,,,,,,,,,,,,,,,,
TR027246,30.320,374179,BAU - FACCHINI,FALSE,ENTREGUE,J JUNIOR E GOMES ,CLIENTE,NÃO,PAGO,,,30/12/2025,1017047,JORGE,08/01/2026 - 13:30 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR000114,11.180,367523,NENHUM,FALSE,ENTREGUE,J M A SOARES TURISMO,CLIENTE,OK,PAGO,NÃO TEM,,30/09/2025,1002558,JORGE,11/10 - 10:00 HORAS,,,CORTESIA,371528,"DEFLETOR, 4 RODAS ALUMINIO, INSUFILME, CALHA DE CHUVA, MANGUEIRA DE SOPRAR, CHINIL, TAPETE VINIL E MOEDA E BUZINA MARITIMA",,,,,,,,,,,,,,,,,
SR041461,9. 180 OD,364414,NENHUM,FALSE,ENTREGUE,J W SERVICOS E LOCACOES LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,VAI FICAR LÁ,03/06/2025,981247,GUSTAVO,10/06 - 10:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR018375,11.180,364417,OUTRO,TRUE,ENTREGUE,J&F AGROPECUARIA LTDA. ,CLIENTE,OS.,PAGO,,,14/01/2026,1018877,PAULO,JRV VAI ENTREGAR DIRETAMENTE NO CLIENTE,,,EXTERNO ,376090,"VERNIZ, SOPRADOR, MOEDA E INSUFILME",,,,,,,,,,,,,,,,,
SR005593,25.480,362343,NENHUM,FALSE,ENTREGUE,JAEPEL PAPEIS E EMBALGENS S.A,CLIENTE,NÃO,PAGO,REALIZADA,PLACA - TFQ0E82,31/03/2025,,JORGE,30/05 - 08:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR042356,EXPRESS,369629,NENHUM,FALSE,ENTREGUE,JANIO FABIO FLORENTINO LTDA,CLIENTE,OK,PAGO,NÃO TEM,,22/08/2025,995494,GADMA,01/10/2025,13:30,,CORTESIA,,,,,,,,,,,,,,,,,,,
TR008532,EXPRESS,372983,NENHUM,FALSE,ENTREGUE,JANIO FABIO FLORENTINO LTDA,CLIENTE,OK,PAGO,NÃO TEM,CLIENTE RETIROU - SP,30/10/2025,1007653,GADMA,10/12 - 16:00 HORAS,,,CORTESIA,373138,"10 BONES, 4 GARRFAS TERMICAS E 4 COPOS",,,,,,,,,,,,,,,,,
SR042470,EXPRESS,369630,NENHUM,FALSE,ENTREGUE,JANIO FABIO FLORENTINO LTDA ,CLIENTE,OK,PAGO,NÃO TEM,JRV 28/08 - RETIRANDO O BAU,22/08/2025,995493,GADMA,01/10/2025,13:30,,CORTESIA,,,,,,,,,,,,,,,,,,,
SR035457,27.260,362898,NENHUM,FALSE,ENTREGUE,JBJ AGROPECUARIA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,TGM7E11,03/02/2025,,GUSTAVO,09/05 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR001902,27.260,363104,NENHUM,FALSE,ENTREGUE,JBJ AGROPECUARIA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,TFA6F41,,,GUSTAVO,30/04 - 10:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR037296,18.260,360943,NENHUM,FALSE,ENTREGUE,JBJ AGROPECUARIA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,JRV,,,GUSTAVO,,,,,,,,,,,,,,,,,,,,,,,
TR000884,27.260,363257,NENHUM,FALSE,ENTREGUE,JBJ AGROPECUARIA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,PLACA - TGL8G91,,,GUSTAVO,27/05 - 08:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR000428,27.260,363103,NENHUM,FALSE,ENTREGUE,JBJ AGROPECUARIA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,TGL8I91,,,GUSTAVO,30/04 - 10:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR015846,27.260,377320,CAÇAMBA - FACCHINI,TRUE,ENTREGUE,JBJ AGROPECUARIA LTDA,CLIENTE,P,PAGO,NÃO TEM,,28/01/2026,1021539,JORGE,24/02/2026 - 16:00 HORAS,,,CORTESIA,377603,"TAPETE VINIL, MOEDA, CALHA, SOPRADOR E INSUFILME",,,,,,,,,,,,,,,,,
TR019144,31.320,382326,NENHUM,FALSE,ENTREGUE,JBJ AGROPECUARIA LTDA,CLIENTE,A,PAGO,NÃO TEM,,29/04/2026,1037256,JORGE,01/06/26,13:30,,CORTESIA,380855,"INSUFILME, VINIL, TAPETE MOEDA, CALHA DE CHUVA E MANGUEIRA DE SOPRAR",,,,,,,,,,,,,,,,,
TR019305,26.260,375571,NENHUM,FALSE,ENTREGUE,JEAN CARLOS NUNES LTDA,CLIENTE,NÃO,PAGO,,,26/12/2025,1016624,RUI,08/01/2026 - 09:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR010487,13.180,366268,NENHUM,FALSE,ENTREGUE,JESUINO E PARREIRA LTDA,CLIENTE,NÃO,PAGO,TEM,,29/5/2025,690286,CRISTIANO,23/06 - 10:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR031837,11.180,378260,NENHUM,FALSE,ENTREGUE,JESUS ALIMENTOS E TRANSPORTADORA LTDA,CLIENTE,P,PAGO,NÃO TEM,,24/02/2026,1026155,LUIZ CLAUDIO,12/03/2026,16:00,,"R$ 2.000,00",378259,"TAPETE, CHINIL, SOPRADOR, INSUFILME",,,,,,,,,,,,,,,,,
TR000100,11.180,369821,NENHUM,FALSE,ENTREGUE,JESUS ALIMENTOS E TRANSPORTADORA LTDA ,CLIENTE,OK,PAGO,NÃO TEM,,22/08/2025,995466,LUIZ CLAUDIO,,,,"R$ 1.600,00",369822,"TAPETE, CHINIL, SOPRADOR",,,,,,,,,,,,,,,,,
TR014610,30.320,372682,NENHUM,FALSE,ENTREGUE,JK TRANSPORTADORA DE PETROLEO,CLIENTE,OS.,PAGO,NÃO TEM,,28/08/2025,996647,LUIZ CLAUDIO,,,,"R$ 10.000,00",372683,"PARAMETRIZAR, TAPETE, CHINIL, SOPRADOR, INSUFILME E CORTINA",,,,,,,,,,,,,,,,,
SR017224,25.480,355586,NENHUM,FALSE,ENTREGUE,JM DISTRIBUIDORA DE BANANAS LTDA,CLIENTE,NÃO,PAGO,REALIZADA,FINALIZADO,20/03/2025,,CARLOS,01/04/2025,14:00,,,,,,,,,,,,,,,,,,,,,
TR202218,28.480,BRANCO GEADA,26/11/25,,ENTREGUE,JOAO BOSCO DOS SANTOS FILHO,CLIENTE,,,12/06/2026,1044716,DOUGLAS,PAGO,SIM,383435,NÃO TEM,"R$ 3.000,00",383055 - DEFLETO TETO ALTO E SAIA LATERAL,,,,,,,,,,,,,,,,,,,
SR201897,29.530,365610,NENHUM,FALSE,ENTREGUE,JOAQUIM QUEIROZ CELESTRINO,CLIENTE,NÃO,PAGO,REALIZADA,,29/5/2025,980523,GUILHERME,,,,"R$ 40.000,00",,"6 rodas de alumínio better auto brilho, tampas cromadas roda, defletor maior, kit black ( adesivos meteor , máscara negra farol , adesivos grade, saia lateral , paralamas na cor do veículo , tapetes premium, Chinil bancos e painel , parametrização para boiadeira 2 andares com elevador , insulfime e buzina marítima , "" EMPLACAMENTO GRÁTIS",,,,,,,,,,,,,,,,,
SR203599,29.530,368511,NENHUM,FALSE,ENTREGUE,JOLCAR COM DE PEC E ACE PARA VEICULOS LTDA,CLIENTE,OK,PAGO,NÃO TEM,,29/7/2025,991128,PAULO,07/08 - 16:00 HORAS,,,"CHINIL BANCO E PAINEL, TAPETE BORRACHA, INSUFILME, 6 RODA DE ALUMINIO ACS901 E MANGUEIRA DE SOPRAR",,,,,,,,,,,,,,,,,,,
TR023274,20.480,379604,NENHUM,FALSE,ENTREGUE,JOSE CARLOS GUIMARAES MESQUITA ,CLIENTE,N,PAGO,NÃO TEM,,30/03/2026,1032018,JORGE,09/04/2026,16:00,,,,,,,,,,,,,,,,,,,,,
SR027399,27.260,358186,NENHUM,FALSE,ENTREGUE,JOSE CARLOS RAMPELOTTI,CLIENTE,NÃO,PAGO,NÃO TEM,IMPLEMENTANDO,16/12/2024,,LUIZ CLAUDIO,,,,,,,,,,,,,,,,,,,,,,,
SR021503,18.260,349834,NENHUM,FALSE,ENTREGUE,JOSE CARLOS RAMPELOTTI,CLIENTE,NÃO,PAGO,NÃO TEM,GASCOM,,,LUIZ CLAUDIO,,,,,,,,,,,,,,,,,,,,,,,
SR021357,18.260,351365,NENHUM,FALSE,ENTREGUE,JOSE CARLOS RAMPELOTTI,CLIENTE,NÃO,PAGO,NÃO TEM,GASCOM,,,LUIZ CLAUDIO,,,,,,,,,,,,,,,,,,,,,,,
TR031814,11.180,381217,CARROC. JRV,TRUE,ENTREGUE,JOSE CARLOS RAMPELOTTI,CLIENTE,P,PAGO,NÃO TEM,,16/04/2026,1034880,LUIZ CLAUDIO,13/05/2026,09:00,,"R$ 2.000,00",381198,"VINIL, CHINIL, SOPRADOR, INSUFILME E CORTINA",,,,,,,,,,,,,,,,,
9536C8TL9VR014743,27.320,BRANCO GEADA,27/05/26,,ENTREGUE,JOSE CARLOS RAMPELOTTI,CLIENTE,,,12/06/2026,1044741,LUIZ CLAUDIO,NÃO,SIM,383221,NÃO TEM,"R$ 4.000,00",PARAMETRIZAR E CHINIL BANCO,,,,,,,,,,,,,,,,,,,
TR014467,25.480,368113,NENHUM,FALSE,ENTREGUE,JOSE MARIA SILVA SOBREIRO,CLIENTE,NÃO,PAGO,NÃO TEM,,25/07/2025,990629,DOUGLAS,11/08 - 13:30 HORAS,,,,,,,,,,,,,,,,,,,,,,/
SR033877,9.180,366560,NENHUM,FALSE,ENTREGUE,JR TURBO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,18/06/2025,984064,JORGE,16/07 - 09:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR202667,29.530,373030,NENHUM,FALSE,ENTREGUE,JUAREZ MENELIK DA COSTA NETO,CLIENTE,NÃO,PAGO,TEM,,31/10/2025,1007911,JORGE,06/11 - 09:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
VR203351,29.530,,,,ENTREGUE,JULIANA DE CASSIA S. BARCELOS,CLIENTE,,,29/05/2026,1042069,KRISLEY,PAGO,NÃO,,NÃO TEM,,,,,,,,,,,,,,,,,,,,,
SR041463,9.180 OD ,368996,NENHUM,FALSE,ENTREGUE,JULIANO ALVARENGA JA TRANSPORTES,CLIENTE,NÃO,PAGO,NÃO TEM,,13/08/2025,993904,GUSTAVO,20/08 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR200894,29.530,347715,NENHUM,FALSE,ENTREGUE,JULIO E MENDES LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,19/05/2025,978239,MARIANA,,,,CORTESIA,,DEFLETOR DE AR PARA BAU / TAPETE PREMIUM,,,,,,,,,,,,,,,,,
SR201956,29.530,365012,NENHUM,FALSE,ENTREGUE,JULIO E MENDES LTDA,CLIENTE,NÃO,PAGO,REALIZADA,,19/05/2025,978255,MARIANA,,,,CORTESIA,,DEFLETOR DE AR PARA BAU / TAPETE PREMIUM,,,,,,,,,,,,,,,,,
TR031929,11.180,381736,NENHUM,FALSE,ENTREGUE,K-2 TRANSPORTES LTDA - FALTOU CALHA TORTA,CLIENTE,P,PAGO,NÃO TEM,,23/03/2026,1030809,JORGE,19/05/26,08:00,,"R$ 5.000,00",381672,ADICIONA ROBSON COISAS,,,,,,,,,,,,,,,,,
SR031248,18.320,370984,NENHUM,FALSE,ENTREGUE,KI CARNES ATACADISTA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,17/09/2025,1000256,JORGE,08/11 - 10:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR012658,25.480,370051,NENHUM,FALSE,ENTREGUE,KI CARNES ATACADISTA LTDA ,CLIENTE,OK,PAGO,NÃO TEM,,28/08/2025,996845,JORGE,05/09 - 13:30 HORAS,,,CORTESIA,370050,"INSUFILME, TAPETE PRETO, CALHA DE CHUVA, CHINIL BANCO E PAINEL E MANGUEIRA DE SOPRAR",,,,,,,,,,,,,,,,,
SR023870,30.320,353175,NENHUM,FALSE,ENTREGUE,KJ TRANSPORTES LTDA,CLIENTE,OK,PAGO,REALIZADA,,14/04/2025,972417,GADMA,16/04 - 08:00 HORAS,,,"R$ 4.700,00",362983,PARAMETRIZAÇÃO,,,,,,,,,,,,,,,,,
TR021909,30.320,376785,NENHUM,FALSE,ENTREGUE,KJ TRANSPORTES LTDA,CLIENTE,A,PAGO,NÃO TEM,,30/01/2026,1022406,GADMA,05/02/26 - 16:00 HORAS,,,"R$ 4.700,00",376759,PARAMETRIZAÇÃO TOMADA DE FORÇA,,,,,,,,,,,,,,,,,
SR036332,9.180,366849,NENHUM,FALSE,ENTREGUE,KLEBER FRANCA NEVES,CLIENTE,OK,PAGO,NÃO TEM,,30/06/2025,986071,DOUGLAS,19/09 - 09:00 HORAS,,,"R$ 4.000,00",368668,"MANGUEIRA DE SOPRAR, TAPETE DE BORRAHCA, INSUFILME, CHINIL PRETO",,,,,,,,,,,,,,,,,
TR015822,18.260,371655,NENHUM,FALSE,ENTREGUE,LATICINIOS CARVALHO LTDA,CLIENTE,OK,PAGO,NÃO TEM,,30/09/2025,1002524,LUIZ CLAUDIO,10/10 - 13:30 HORAS,,,"R$ 1.500,00",371561,SOM,,,,,,,,,,,,,,,,,
TR002390,9.180,373396,NENHUM,FALSE,ENTREGUE,LATICINIOS CARVALHO LTDA,CLIENTE,OS.,PAGO,NÃO TEM,,26/09/2025,1001955,LUIZ CLAUDIO,04/12 - 16:00 HORAS,,,"R$ 1.500,00",373395,TAPETE E CHINIL,,,,,,,,,,,,,,,,,
TR002572,9.180,362967,NENHUM,FALSE,ENTREGUE,LATICINIOS CARVALHO LTDA,CLIENTE,OS.,PAGO,NÃO TEM,,26/09/2025,1001963,LUIZ CLAUDIO,04/12 - 16:00 HORAS,,,"R$ 1.500,00",373397,TAPETE E CHINIL,,,,,,,,,,,,,,,,,
